sales;subsidies;workers;employees;revenues;budget
24429,08;22,53;296,857513;2177153;179162865;165236,00
25390,47;31,41;286,2235788;2180165;193399199;239276,00
24971,83;27,57;280,7690411;2163887;192457859;212474,00
22783,83;50,85;279,0756465;2169255;177098704;395262,00
22507,41;37,32;278,2785235;2073175;167680203;278019,00
23771,23;39,84;265,8527872;2031647;181659735;304493,00
24075,77;39,34;259,0705394;1997952;185672376;303376,00
24305,95;53,14;256,8734778;2003870;189610707;414523,00
25278,08;36,62;283,1132612;1989720;177654327;257376,00
27771,7;35,74;281,2153351;2009846;198484315;255463,00
28631,66;45,02;278,6264877;2013355;206892374;325344,00
28563,37;74,46;279,9482143;2038023;207941329;542063,00
30053,45;39,84;296,5364029;2060928;208871477;276907,00
31854,64;42,27;289,5239298;2062858;226964345;301208,00
32949,92;46,29;286,4789671;2063508;237338290;333427,00
34317,06;61,33;284,1129765;2064649;249382053;445711,00
33482,88;43,77;292,6335333;2049020;234447098;306455,00
33555,24;44,32;284,5502432;2047339;241429975;318885,00
33524,75;67,56;281,3382818;2046736;243892537;491527,00
33448,15;61,99;279,6441072;2045317;244639743;453366,00
32635,94;43,81;292,4382022;2030106;226558729;304157,00
33942,31;48,37;285,6087324;2027822;240990398;343419,00
35553,69;55,46;282,9779422;2026971;254671107;397280,00
34784,23;70,63;281,3349972;2028988;250863834;509388,00
34244,59;45,87;297,2477927;2053685;236595896;316889,00
35683,5;52,4;292,1037709;2060500;251711418;369663,00
35708,95;61,2;290,9030849;2065121;253497863;434476,00
35575,72;66,49;288,906834;2071462;255077944;476765,00
35101,18;50,31;304,8166739;2113294;243356481;348797,00
35642,02;52,7;297,9032667;2115709;253129593;374273,00
36148,53;64,9;294,9493036;2117736;259546471;465957,00
36446,96;73,02;293,3952493;2124475;263912438;528752,00
35488,95;52,08;309,8827969;2175997;249203403;365712,00
37072,08;58,35;303,1659958;2184311;267104311;420387,00
